timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-04-05 21:45:00,67734.57,67792.21,67515.44,67515.45,112.55066,1712354399999,7614202.0555327,14408,45.23297,3060431.511341,0
2024-04-05 22:00:00,67515.44,67695.71,67503.31,67640.0,214.16629,1712355299999,14485753.4422667,16169,114.84547,7767128.5818698,0
2024-04-05 22:15:00,67640.0,67720.93,67625.89,67690.0,112.11695,1712356199999,7588075.9441199,10986,68.11478,4609838.4955502,0
2024-04-05 22:30:00,67690.01,67779.06,67626.2,67779.06,97.03841,1712357099999,6571116.6135133,8136,63.14771,4276414.1839455,0
2024-04-05 22:45:00,67779.06,67843.55,67566.67,67628.53,159.05011,1712357999999,10772646.2916184,9846,65.71134,4451541.2767052,0
2024-04-05 23:00:00,67628.53,67855.0,67628.52,67813.98,140.6351,1712358899999,9527597.3625046,9672,72.64131,4921335.847358,0
2024-04-05 23:15:00,67813.97,67851.27,67766.66,67839.1,120.74587,1712359799999,8187489.9618797,7109,59.56859,4039119.4007719,0
2024-04-05 23:30:00,67839.09,67955.43,67826.0,67917.94,111.90434,1712360699999,7597560.0343166,8055,71.82812,4876452.5168433,0
2024-04-05 23:45:00,67917.95,67966.67,67752.84,67820.62,189.60423,1712361599999,12869907.0668326,8912,62.77937,4262635.851598,0
2024-04-06 00:00:00,67820.63,67863.84,67686.23,67792.2,335.74682,1712362499999,22751577.587918,11669,136.79314,9269463.6720821,0
2024-04-06 00:15:00,67792.21,67864.39,67734.46,67864.39,186.55301,1712363399999,12652090.941407,10122,96.81665,6566079.9329879,0
2024-04-06 00:30:00,67864.39,68065.2,67864.38,67918.0,219.40796,1712364299999,14912734.8394835,13404,138.21049,9394443.8781155,0
2024-04-06 00:45:00,67917.99,67997.47,67830.0,67900.57,122.38103,1712365199999,8312755.7011016,9912,46.32391,3146470.880558,0
2024-04-06 01:00:00,67900.56,67960.0,67806.52,67818.0,177.52132,1712366099999,12052123.3379313,10224,60.21035,4088476.7926028,0
2024-04-06 01:15:00,67817.99,67977.73,67813.97,67918.0,116.41806,1712366999999,7908180.8691684,9149,54.39863,3695082.4801273,0
2024-04-06 01:30:00,67918.0,67932.0,67774.0,67794.46,197.24336,1712367899999,13382769.0621846,11886,46.17475,3133024.8580762,0
2024-04-06 01:45:00,67794.46,67833.34,67643.47,67689.99,261.78998,1712368799999,17731911.5965647,13678,68.92906,4668239.151005,0
2024-04-06 02:00:00,67689.99,67765.77,67659.88,67659.89,244.31133,1712369699999,16545295.8480504,10692,59.64619,4039385.7488491,0
2024-04-06 02:15:00,67659.88,67721.88,67588.01,67595.6,277.82677,1712370599999,18797095.6479849,11327,85.07492,5755430.0622886,0
2024-04-06 02:30:00,67595.6,67648.0,67447.83,67492.51,399.91426,1712371499999,27001978.1680961,16733,130.25483,8794991.4052057,0
2024-04-06 02:45:00,67492.51,67588.3,67492.5,67574.59,114.95536,1712372399999,7766695.7023554,7552,56.5076,3817467.7960288,0
2024-04-06 03:00:00,67574.6,67746.06,67574.59,67715.65,106.68026,1712373299999,7219370.4888199,8634,47.0477,3183367.661582,0
2024-04-06 03:15:00,67715.65,67882.5,67697.77,67742.76,145.1057,1712374199999,9836653.408078,10092,74.42061,5044911.4085151,0
2024-04-06 03:30:00,67742.76,67784.99,67633.33,67639.99,146.65444,1712375099999,9931903.0006786,8852,59.95733,4061363.7401021,0
