,fitness,expression,depth,length
alpha_1,12.304394125378614,"sub(sub(log(log(low)), log(sqrt(volume))), abs(div(sqrt(high), add(low, high))))",4,15
alpha_2,4.166046721597502,"log(div(log(sqrt(close)), sub(abs(open), div(high, low))))",4,11
alpha_3,3.4781124741231886,"sub(log(div(log(open), log(mul(close, open)))), high)",5,10
alpha_4,2.860774598883159,"div(sub(cos(open), sqrt(low)), low)",3,7
alpha_5,2.495342160885954,"sub(sin(tan(sin(log(volume)))), open)",5,7
alpha_6,2.329726777220788,"tan(log(add(log(volume), close)))",4,6
alpha_7,1.9374714868057208,log(cos(cos(log(close)))),4,5
alpha_8,1.9291885976350123,log(cos(cos(sin(open)))),4,5
alpha_9,1.9106419712316542,"div(volume, sub(sin(low), sqrt(volume)))",3,7
alpha_12,1.885321742043445,"sub(sin(div(volume, volume)), abs(sqrt(high)))",3,8
alpha_11,1.8727360781641331,"log(abs(mul(cos(sin(low)), div(log(high), sqrt(high)))))",5,11
alpha_10,1.8701465936859285,"sub(sqrt(cos(abs(tan(low)))), abs(sqrt(sub(add(low, volume), sub(high, volume)))))",5,15
alpha_13,1.606316439704205,"sub(abs(sin(volume)), div(mul(volume, high), add(close, volume)))",3,11
alpha_14,1.555730510583337,"sub(log(cos(sub(low, close))), cos(log(sin(low))))",4,10
alpha_15,1.5483884975455635,"log(sub(low, close))",2,4
alpha_16,1.454699665706268,"log(div(cos(mul(high, open)), sqrt(add(close, low))))",4,10
alpha_17,1.2279438548609207,"sub(sin(low), high)",2,4
alpha_18,1.1603057295833799,"log(cos(sin(sub(sin(close), tan(low)))))",5,8
alpha_20,1.1143857134226487,log(sin(sqrt(cos(low)))),4,5
alpha_19,1.1125751171835698,"log(add(sin(log(abs(low))), div(sqrt(sub(volume, volume)), sub(tan(low), sqrt(close)))))",5,16
alpha_21,0.9572631403141457,"div(mul(abs(cos(add(open, low))), sin(sqrt(tan(volume)))), log(abs(cos(sqrt(open)))))",5,16
alpha_23,0.8806352388327972,log(cos(low)),2,3
alpha_22,0.879712515954846,"sub(cos(low), log(close))",2,5
alpha_24,0.877282775457341,log(cos(close)),2,3
alpha_26,0.8739224802878379,log(log(close)),2,3
alpha_27,0.8623224154095634,log(log(log(close))),3,4
alpha_29,0.8188456374552651,log(sin(abs(tan(close)))),4,5
alpha_28,0.8028381512680882,"sub(tan(sin(close)), sub(close, log(sin(sub(volume, volume)))))",5,11
alpha_32,0.783058979808491,"sub(low, volume)",1,3
alpha_31,0.7780589938244592,"sub(sqrt(close), volume)",2,4
alpha_35,0.7724643971353131,"mul(open, cos(high))",2,4
alpha_33,0.7580589768493012,"sub(div(add(open, high), low), abs(volume))",3,8
alpha_34,0.7580588828765688,"add(add(sub(low, volume), abs(low)), low)",3,8
alpha_36,0.7559294943137957,"log(log(add(sin(volume), sqrt(open))))",4,7
alpha_38,0.7558295558000767,log(cos(volume)),2,3
alpha_30,0.7480590195263094,"add(cos(abs(close)), sub(sub(high, volume), sqrt(close)))",3,10
alpha_39,0.7283085678392678,"sub(cos(add(volume, close)), sin(sin(open)))",3,8
alpha_37,0.714182891784565,"sub(mul(sin(log(volume)), abs(sqrt(open))), mul(abs(sin(high)), volume))",4,13
alpha_40,0.7139889856269047,"mul(log(sin(volume)), add(sqrt(open), div(high, open)))",3,10
alpha_41,0.6575377310715167,"div(tan(log(low)), sin(sub(low, close)))",3,8
alpha_43,0.5879189307671301,"sub(log(tan(add(close, high))), cos(cos(sub(volume, open))))",4,11
alpha_42,0.5783540863561447,"sub(sub(div(sqrt(high), abs(close)), log(abs(close))), add(sqrt(sub(close, high)), add(add(low, open), mul(volume, close))))",4,22
alpha_44,0.5563752718083466,"mul(log(cos(volume)), abs(div(abs(sin(close)), open)))",5,10
alpha_49,0.5469556711815015,tan(cos(high)),2,3
alpha_50,0.5379715338355212,tan(cos(low)),2,3
alpha_54,0.5351156576561497,cos(high),1,2
alpha_45,0.534107579118739,"mul(sub(open, mul(volume, close)), sqrt(cos(open)))",3,9
alpha_57,0.5303421269096769,cos(open),1,2
alpha_48,0.5270168204783886,"sin(cos(sub(log(volume), abs(low))))",4,7
alpha_60,0.5256527586047854,cos(low),1,2
alpha_51,0.5256411845408147,log(log(log(tan(open)))),4,5
alpha_58,0.521645736533011,sin(cos(high)),2,3
alpha_52,0.519223101119156,"sin(div(log(high), tan(open)))",3,6
alpha_61,0.5156325160540689,sin(tan(cos(open))),3,4
alpha_64,0.5120031299726817,sin(cos(low)),2,3
alpha_56,0.5104805135628027,"cos(mul(sqrt(close), sqrt(close)))",3,6
alpha_55,0.5062638086669676,"log(tan(sin(tan(mul(low, open)))))",5,7
alpha_63,0.5026346809135555,"add(sub(high, low), cos(high))",2,6
alpha_46,0.4934490050187827,"mul(sub(abs(mul(open, high)), mul(sub(close, volume), sin(close))), log(log(div(high, close))))",4,17
alpha_62,0.4884647312300238,"cos(abs(div(mul(low, volume), add(volume, high))))",4,9
alpha_47,0.47300412147804183,"log(div(add(sin(sqrt(low)), sin(sin(open))), sub(mul(abs(open), div(low, close)), add(log(high), tan(close)))))",5,21
alpha_67,0.4583625717226604,"log(div(close, high))",2,4
alpha_66,0.44115344952277397,"div(cos(high), sub(log(volume), log(open)))",3,8
alpha_69,0.3883413225104493,cos(log(volume)),2,3
alpha_65,0.38756153254689857,"sub(log(tan(sub(sqrt(close), tan(close)))), log(div(mul(tan(volume), mul(low, open)), div(tan(low), abs(low)))))",5,21
alpha_70,0.3328841923162623,"cos(add(high, cos(abs(volume))))",4,6
alpha_68,0.329864948618575,"mul(add(div(log(high), sqrt(low)), log(sin(close))), div(sub(div(low, open), sin(high)), add(sqrt(open), sqrt(open))))",4,22
alpha_71,0.3239819854877557,tan(tan(cos(low))),3,4
alpha_72,0.27274326800225074,"sin(log(abs(div(tan(open), log(volume)))))",5,8
alpha_74,0.2655010204944052,sin(tan(open)),2,3
alpha_73,0.2649379148273968,"mul(sqrt(log(sin(low))), sin(tan(low)))",4,8
alpha_78,0.24146248176728854,log(tan(cos(log(high)))),4,5
alpha_77,0.24092414346846816,"tan(cos(add(abs(open), low)))",4,6
alpha_80,0.2311210324149803,"sin(add(low, open))",2,4
alpha_81,0.22575087271499208,"mul(sin(low), cos(low))",2,5
alpha_76,0.2065775902933995,"mul(tan(sin(sub(tan(high), close))), sub(log(sub(open, tan(open))), close))",5,14
alpha_79,0.2003774043719454,"sub(mul(sin(volume), mul(low, open)), div(sqrt(high), log(close)))",3,12
alpha_82,0.18426251230455729,"mul(cos(log(volume)), sin(log(open)))",3,7
alpha_83,0.13054629054843866,"sin(cos(mul(open, high)))",3,5
alpha_84,0.08465698297559983,"cos(add(abs(close), tan(close)))",3,6
alpha_87,0.022654953911294365,"tan(sin(sub(div(mul(high, high), tan(volume)), sin(sin(close)))))",5,12
alpha_88,0.014081955424000162,"div(sqrt(log(log(high))), sub(sub(low, open), log(sqrt(low))))",4,12
alpha_86,0.01311792365429311,"div(cos(tan(div(mul(high, open), mul(close, close)))), log(cos(sin(tan(open)))))",5,15
alpha_97,0.006883520522296986,tan(close),1,2
alpha_100,0.00679077673744124,tan(open),1,2
alpha_90,0.002139075313678296,"sub(tan(low), add(open, high))",2,6
alpha_98,0.0017907767374412409,tan(abs(open)),2,3
alpha_96,-0.012801466150171303,"mul(tan(open), mul(open, volume))",2,6
alpha_85,-0.013369203693243376,"div(log(sub(mul(log(close), cos(high)), abs(cos(low)))), cos(sub(sqrt(log(volume)), sub(cos(high), div(low, high)))))",5,22
alpha_92,-0.013444184072751813,"log(add(log(cos(open)), abs(open)))",4,7
alpha_95,-0.03187655211817951,"add(sqrt(sub(open, close)), add(cos(high), tan(open)))",3,10
alpha_93,-0.03856506668306391,"div(cos(low), sub(abs(div(add(high, high), tan(low))), volume))",5,12
alpha_89,-0.04601322046714978,"div(log(sin(div(volume, volume))), div(abs(abs(volume)), sub(tan(volume), sub(close, high))))",4,16
alpha_91,-0.04769470163100575,"mul(div(sqrt(cos(sub(open, volume))), sin(add(abs(high), sqrt(close)))), abs(open))",5,15
alpha_94,-0.07681290381024189,"sub(sqrt(tan(sqrt(tan(close)))), div(div(cos(abs(low)), sin(log(volume))), sin(abs(sub(close, high)))))",5,19
