,fitness,expression,depth,length
alpha_1,2.572406932126502,"sub(sub(low, close), close)",2,5
alpha_5,2.572353788775218,"sub(low, add(high, low))",2,5
alpha_6,2.572342464168449,"sub(sub(low, open), close)",2,5
alpha_17,2.5718490216878136,"sub(sub(open, close), close)",2,5
alpha_28,2.5717228912313934,"sub(sub(low, low), open)",2,5
alpha_27,2.5717228912313934,"sub(low, add(low, open))",2,5
alpha_26,2.5717228912313934,"sub(sub(low, open), low)",2,5
alpha_37,2.570975251955873,"sub(close, add(open, low))",2,5
alpha_39,2.5705226616387926,"sub(sub(high, low), open)",2,5
alpha_40,2.5705041133321416,"sub(sub(close, low), low)",2,5
alpha_10,2.5520014456514737,"sub(sub(low, add(open, high)), low)",3,7
alpha_9,2.5520014456514737,"sub(sub(high, high), add(open, high))",2,7
alpha_11,2.5519935111052314,"sub(sub(close, low), add(high, high))",2,7
alpha_22,2.5517863039523454,"sub(sub(high, close), add(open, high))",2,7
alpha_23,2.551783501670603,"sub(sub(close, high), add(low, close))",2,7
alpha_24,2.551783501670603,"sub(sub(sub(open, open), high), low)",3,7
alpha_29,2.5515456423290934,"sub(sub(open, add(close, low)), open)",3,7
alpha_36,2.551212318683732,"sub(sub(close, low), add(close, low))",2,7
alpha_35,2.551212318683732,"sub(sub(open, low), add(low, open))",2,7
alpha_4,2.532404663662111,"sub(sub(open, sub(add(high, close), close)), close)",4,9
alpha_2,2.532404663662111,"sub(sub(low, add(close, sub(high, open))), low)",4,9
alpha_8,2.5321401434588378,"sub(open, add(add(high, open), add(close, high)))",3,9
alpha_14,2.5319003784890333,"sub(high, sub(low, sub(sub(low, high), close)))",4,9
alpha_15,2.5318729223979677,"add(sub(sub(open, add(low, open)), high), open)",4,9
alpha_33,2.531266565219507,"sub(sub(close, volume), sub(add(close, low), volume))",3,9
alpha_19,2.5118479409529053,"sub(sub(sub(add(low, low), add(low, open)), open), open)",4,11
alpha_3,2.492404663662111,"sub(sub(low, high), add(add(sub(close, high), sub(high, open)), low))",4,13
alpha_25,2.4717835016540204,"sub(sub(sub(close, volume), add(low, high)), add(sub(close, volume), sub(close, close)))",3,15
alpha_16,2.451872574270694,"sub(sub(sub(add(sub(low, close), sub(close, open)), low), sub(open, low)), add(high, low))",5,17
alpha_12,2.411987197967539,"add(sub(sub(high, sub(add(high, close), sub(low, open))), add(sub(add(close, close), low), low)), sub(open, open))",5,21
alpha_7,2.3123055141175364,"sub(sub(sub(sub(low, open), add(volume, high)), add(sub(close, volume), add(close, close))), sub(sub(add(volume, high), add(close, volume)), sub(sub(close, high), sub(close, open))))",4,31
alpha_13,2.3119771319444666,"sub(sub(add(add(open, close), sub(open, open)), sub(add(open, high), sub(low, open))), add(add(add(close, high), add(close, open)), add(add(high, open), add(open, close))))",4,31
alpha_20,2.311846976996143,"sub(sub(sub(add(open, low), sub(open, volume)), sub(sub(volume, volume), sub(high, volume))), sub(add(add(volume, high), add(close, close)), add(sub(close, low), sub(volume, close))))",4,31
alpha_21,2.3117863039765174,"sub(add(sub(add(close, volume), add(low, open)), add(sub(open, close), add(high, open))), add(sub(add(volume, open), add(high, low)), add(add(open, high), add(close, high))))",4,31
alpha_32,2.3114206253964085,"sub(sub(sub(sub(high, low), sub(open, open)), sub(add(high, low), add(high, open))), sub(sub(add(high, open), sub(close, high)), sub(sub(volume, low), add(open, volume))))",4,31
alpha_30,1.9915006741834351,"add(sub(add(sub(sub(close, high), add(open, volume)), add(sub(volume, volume), add(high, high))), add(sub(sub(close, open), sub(volume, low)), sub(add(low, open), sub(open, close)))), sub(sub(sub(sub(close, volume), add(close, open)), add(sub(high, open), sub(close, close))), sub(add(add(close, low), add(open, volume)), sub(add(open, volume), sub(close, volume)))))",5,63
alpha_31,1.991493355872969,"add(add(sub(add(add(low, volume), add(close, high)), sub(add(open, open), sub(low, volume))), sub(sub(add(high, close), add(volume, low)), add(add(close, high), add(high, close)))), add(sub(add(sub(low, high), sub(open, high)), add(sub(low, close), add(open, close))), add(add(sub(volume, close), add(close, high)), sub(sub(high, low), sub(open, close)))))",5,63
alpha_34,1.991224994586048,"sub(sub(add(sub(add(close, volume), add(volume, low)), sub(sub(volume, volume), sub(high, open))), sub(add(sub(close, open), sub(open, close)), add(sub(low, close), sub(volume, low)))), sub(sub(add(sub(low, close), add(volume, close)), sub(sub(close, low), sub(low, high))), sub(sub(sub(volume, open), add(open, close)), add(add(low, low), add(volume, low)))))",5,63
