,fitness,expression,depth,length
alpha_1,9.467094958119695,"ta_lr_intercept_20(log(ta_adxr_25(add(open, volume), mul(close, close), ta_cmo_14(volume))))",4,11
alpha_2,4.206363268611058,"ta_lr_intercept_20(ta_adxr_25(sqrt(volume), add(high, high), low))",3,8
alpha_3,3.100919867689578,"sub(sin(sin(ta_adxr_25(cos(close), ta_lr_intercept_20(close), open))), low)",5,10
alpha_4,2.841029825849191,"sub(abs(div(ta_cmo_14(div(open, open)), abs(ta_cmo_14(volume)))), sqrt(cos(log(mul(low, high)))))",5,16
alpha_5,2.614892706058014,"log(ta_mfi_14(ta_lr_slope_10(open), ta_adxr_25(high, volume, volume), ta_lr_intercept_20(open), mul(volume, close)))",3,13
alpha_6,2.5613166437076695,"sub(sub(close, open), abs(open))",2,6
alpha_7,2.3983435380727376,"div(sub(cos(open), sqrt(close)), sqrt(open))",3,8
alpha_9,2.2560290731700734,log(cos(cos(cos(close)))),4,5
alpha_8,2.110249194200826,"log(div(add(sin(ta_lr_intercept_20(high)), ta_cmo_14(add(close, low))), div(div(add(low, open), log(high)), ta_mfi_14(tan(open), cos(low), ta_mfi_14(low, open, low, open), sqrt(volume)))))",5,29
alpha_10,1.8754771884355126,"sub(sin(tan(volume)), abs(sqrt(high)))",3,7
alpha_11,1.8663431821118102,"sub(cos(add(volume, close)), open)",3,6
alpha_12,1.547436585771829,"sub(add(sin(ta_lr_slope_10(low)), log(sin(open))), open)",4,9
alpha_13,1.3512344398392635,"sub(sqrt(cos(sqrt(close))), div(sqrt(abs(volume)), sin(ta_adxr_25(volume, high, high))))",4,14
alpha_15,1.2058520732014582,"tan(sin(sub(abs(ta_lr_slope_10(close)), low)))",5,7
alpha_16,1.116837995171922,"log(log(sqrt(ta_mfi_14(sin(open), div(close, low), mul(close, close), abs(high)))))",5,14
alpha_14,1.072861112878984,"sub(ta_lr_intercept_20(ta_cmo_14(sin(ta_lr_slope_10(high)))), add(ta_lr_slope_10(ta_mfi_14(add(low, low), open, sub(open, close), ta_mfi_14(close, open, low, close))), mul(open, high)))",5,24
alpha_18,0.9068801555429766,ta_lr_intercept_20(cos(high)),2,3
alpha_22,0.8594960283069313,log(log(open)),2,3
alpha_23,0.8589224802878379,log(log(close)),2,3
alpha_21,0.857845188052412,log(ta_lr_intercept_20(ta_lr_slope_10(low))),3,4
alpha_17,0.8477721750832217,"log(ta_adxr_25(cos(mul(open, volume)), div(mul(low, open), ta_cmo_14(volume)), tan(ta_mfi_14(volume, high, close, low))))",4,18
alpha_20,0.8395598492449403,"sin(mul(open, log(log(open))))",4,6
alpha_19,0.8101027907829119,"mul(log(ta_adxr_25(volume, volume, low)), sub(add(low, close), open))",3,11
alpha_24,0.7646046798514752,"ta_cmo_14(cos(ta_lr_slope_10(cos(div(open, open)))))",5,7
alpha_27,0.74845422180877,"mul(cos(open), high)",2,4
alpha_28,0.7408295558000767,log(cos(volume)),2,3
alpha_25,0.7380589799300679,"sub(sub(low, volume), cos(volume))",2,6
alpha_26,0.7080589788341779,"sub(ta_lr_intercept_20(sqrt(log(ta_cmo_14(open)))), sub(volume, open))",5,9
alpha_29,0.6804170207317426,"log(sqrt(ta_lr_slope_10(sub(close, low))))",4,6
alpha_30,0.6250864956422643,"sin(sub(close, high))",2,4
alpha_32,0.6038655749177071,"log(ta_cmo_14(add(close, volume)))",3,5
alpha_33,0.5970407513791796,"mul(cos(open), ta_lr_intercept_20(high))",2,5
alpha_34,0.5482822124286213,"ta_lr_intercept_20(sin(sub(ta_lr_intercept_20(open), low)))",4,6
alpha_40,0.5466850470599035,log(ta_cmo_14(high)),2,3
alpha_42,0.5372870497799783,log(ta_cmo_14(low)),2,3
alpha_45,0.5319556711815014,tan(cos(high)),2,3
alpha_39,0.5224664502030905,"log(ta_mfi_14(close, high, low, close))",2,6
alpha_46,0.5203421269096768,cos(open),1,2
alpha_38,0.5156830405345754,"ta_adxr_25(close, ta_lr_intercept_20(close), add(low, close))",2,7
alpha_48,0.5156527586047854,cos(low),1,2
alpha_47,0.506645736533011,sin(cos(high)),2,3
alpha_50,0.4970031299726817,sin(cos(low)),2,3
alpha_35,0.49030934624213274,"log(ta_adxr_25(ta_cmo_14(ta_lr_intercept_20(volume)), ta_lr_slope_10(ta_lr_intercept_20(high)), ta_lr_slope_10(sqrt(close))))",4,11
alpha_37,0.486563678749788,"sub(ta_lr_slope_10(cos(div(high, close))), log(abs(abs(low))))",4,10
alpha_36,0.47855980041906,"add(log(ta_mfi_14(volume, high, volume, high)), ta_lr_intercept_20(div(low, low)))",3,11
alpha_49,0.47557090410209407,"mul(cos(low), div(open, high))",2,6
alpha_44,0.4630140763691577,"ta_lr_intercept_20(sqrt(div(ta_cmo_14(ta_lr_intercept_20(volume)), abs(add(open, low)))))",5,10
alpha_31,0.3934919986419625,"sub(mul(sin(sqrt(volume)), sin(ta_mfi_14(close, low, volume, high))), ta_adxr_25(high, ta_adxr_25(add(open, close), mul(open, volume), add(close, open)), tan(add(open, close))))",4,27
alpha_52,0.3571398113414367,"tan(sin(add(log(volume), ta_mfi_14(volume, open, volume, low))))",4,10
alpha_54,0.3307955725994587,"sin(cos(abs(log(sub(volume, low)))))",5,7
alpha_55,0.30398198548775573,tan(tan(cos(low))),3,4
alpha_58,0.25050102049440526,sin(tan(open)),2,3
alpha_56,0.23129980307457204,"sub(abs(ta_lr_slope_10(low)), sqrt(div(close, high)))",3,8
alpha_53,0.2112194856361901,"mul(add(ta_lr_slope_10(mul(volume, low)), ta_adxr_25(sin(high), ta_lr_intercept_20(close), div(open, volume))), sub(sqrt(sub(low, open)), tan(cos(high))))",4,22
alpha_57,0.20473899427280307,"div(sqrt(open), log(sin(sub(volume, low))))",4,8
alpha_62,0.19697596582241905,log(log(ta_lr_intercept_20(ta_lr_slope_10(volume)))),4,5
alpha_59,0.159776281915686,"sub(cos(abs(low)), mul(log(high), ta_adxr_25(open, low, high)))",3,11
