,fitness,expression,depth,length
alpha_3,0.04381170151684726,"ts_sma_55(sub(low, low))",2,4
alpha_4,0.04504877287608703,"log(div(open, low))",2,4
alpha_5,0.0476825867290403,"sin(sub(close, high))",2,4
alpha_7,0.04797199475710376,"sin(sub(open, low))",2,4
alpha_1,0.05381170151684726,"ta_mom_12(sub(abs(open), open))",3,5
alpha_8,0.06341385873357991,"div(ta_tema_21(high), volume)",2,4
alpha_2,0.06381170151684726,"mul(sub(high, high), tan(high))",2,6
alpha_9,0.07341540980741482,"div(ta_lr_angle_10(close), sqrt(volume))",2,5
alpha_12,0.0912608666107522,"sin(ta_willr_14(volume, close, close))",2,5
alpha_10,0.09343262619868098,"mul(log(ta_lr_angle_10(volume)), sin(ta_tema_21(low)))",3,7
alpha_6,0.10792201991469882,"tan(tan(abs(div(sub(close, low), div(volume, volume)))))",5,10
alpha_14,0.1358902782505761,"abs(ta_willr_14(volume, ta_lr_angle_10(high), ta_mom_12(volume)))",3,7
alpha_20,0.13889919837084802,"ta_tema_21(div(open, open))",2,4
alpha_21,0.15448598948282882,"abs(ta_tema_21(div(open, close)))",3,5
alpha_22,0.18698765216629315,"mul(ta_mom_12(ta_mom_12(close)), ta_tema_21(div(high, open)))",3,8
alpha_17,0.23304422732359417,"sin(ta_willr_14(ta_lr_angle_10(mul(sqrt(low), abs(volume))), cos(low), abs(sub(tan(high), tan(volume)))))",5,16
alpha_18,0.23853372695632807,"mul(sqrt(ta_mom_12(ta_willr_14(ta_tema_21(volume), abs(volume), log(close)))), log(cos(cos(abs(open)))))",5,15
alpha_24,0.23879070491080667,"div(ta_mom_12(ts_sma_55(ta_tema_21(add(close, low)))), high)",5,8
alpha_25,0.24107689562951368,"ta_willr_14(high, ta_willr_14(close, close, close), ta_mom_12(high))",2,8
alpha_26,0.24399246691638013,"ta_tema_21(log(cos(abs(div(high, low)))))",5,7
alpha_28,0.25034880702515244,ta_lr_angle_10(ts_sma_55(ts_sma_55(sqrt(low)))),4,5
alpha_30,0.27333367109124085,abs(ts_sma_55(log(abs(ta_lr_angle_10(volume))))),5,6
alpha_31,0.2734130242254057,"ts_sma_55(log(ta_lr_angle_10(add(open, volume))))",4,6
alpha_27,0.2747264426251609,"sin(ta_willr_14(ta_tema_21(close), div(volume, high), div(high, volume)))",3,10
alpha_16,0.2792148188330892,"ta_mom_12(abs(ta_willr_14(add(mul(volume, open), add(low, low)), add(ta_willr_14(low, high, low), ta_mom_12(open)), sqrt(add(open, low)))))",5,21
alpha_19,0.3070936841217604,"mul(log(sin(ta_tema_21(ta_tema_21(high)))), sin(ta_willr_14(ta_lr_angle_10(ta_tema_21(low)), ta_willr_14(sin(low), sub(close, close), high), cos(ta_mom_12(low)))))",5,21
alpha_34,0.3094905658720445,"ta_tema_21(tan(ta_willr_14(low, low, low)))",3,6
alpha_38,0.3161606860906172,ta_lr_angle_10(ts_sma_55(open)),2,3
alpha_11,0.33740594986811867,"sin(ta_willr_14(add(sub(sqrt(low), cos(close)), ta_tema_21(mul(volume, close))), mul(abs(log(low)), log(ta_tema_21(high))), ta_mom_12(ta_willr_14(add(open, low), div(low, high), mul(open, volume)))))",5,30
alpha_46,0.3492040923551032,cos(sqrt(open)),2,3
alpha_37,0.35431877522185445,"sqrt(ta_willr_14(ta_mom_12(high), sin(close), log(close)))",3,8
