,fitness,expression,depth,length
alpha_77,0.1586321388956609,"log(abs(mul(cos(mul(volume, volume)), tan(mul(low, open)))))",5,11
alpha_82,0.1510775468211597,"mul(cos(open), ts_prod_17(high))",2,5
alpha_81,0.1292477571410789,"log(sqrt(ta_adx_25(sub(close, low), tan(low), abs(low))))",4,10
alpha_76,0.09382796906076629,"ts_prod_17(sub(ts_prod_17(abs(ts_wma_8(close))), div(sin(ta_natr_25(close, low, volume)), mul(abs(open), div(high, close)))))",5,18
alpha_89,0.08175286279310524,ta_lr_intercept_20(ts_prod_17(ts_prod_17(sqrt(low)))),4,5
alpha_97,0.07956619343429937,ta_lr_intercept_20(sin(high)),2,3
alpha_99,0.0774831474599454,ta_lr_intercept_20(sin(close)),2,3
alpha_80,0.06941991826477997,"sub(ta_adx_25(log(cos(close)), ta_lr_intercept_20(ts_wma_8(close)), ts_prod_17(ta_natr_25(close, low, volume))), ts_prod_17(ts_prod_17(low)))",4,16
alpha_96,0.04478081291479308,"div(ts_wma_8(sqrt(high)), ts_prod_17(tan(close)))",3,7
alpha_86,0.043828326486624575,"ts_prod_17(sqrt(div(ts_wma_8(ts_prod_17(volume)), abs(add(open, low)))))",5,10
alpha_84,0.04337300402326813,"mul(sub(log(open), ta_adx_25(close, volume, volume)), sin(ta_adx_25(close, close, low)))",3,13
alpha_87,0.0422016846929508,"ts_wma_8(ta_adx_25(ts_prod_17(close), ta_natr_25(volume, high, volume), sqrt(low)))",3,10
alpha_93,0.040684753198986054,"ts_prod_17(ts_prod_17(sqrt(mul(high, mul(close, open)))))",5,8
alpha_94,0.038571297347589795,"ta_natr_25(sub(open, high), log(low), log(volume))",2,8
alpha_92,0.03392977104245738,"ta_natr_25(sub(abs(open), open), log(volume), abs(volume))",3,9
alpha_90,0.01927387555874789,"ta_adx_25(ta_adx_25(low, close, open), tan(close), ta_natr_25(volume, open, high))",2,11
alpha_98,0.01881786479496432,"ta_lr_intercept_20(ta_adx_25(high, sub(high, close), add(high, high)))",3,9
alpha_100,0.014658475110737104,"ts_wma_8(add(abs(ts_prod_17(low)), tan(sub(close, close))))",4,9
alpha_95,-0.004977592837954167,"ts_prod_17(ta_adx_25(tan(abs(open)), cos(sqrt(high)), sin(mul(high, open))))",4,12
alpha_85,-0.04030413320335979,"ta_adx_25(open, cos(tan(add(open, open))), ta_natr_25(ta_natr_25(ta_adx_25(close, volume, close), open, tan(low)), close, tan(sqrt(open))))",4,20
alpha_88,-0.04578043309548102,"sub(tan(sin(div(sub(close, high), sqrt(volume)))), log(div(abs(cos(high)), ts_prod_17(add(close, open)))))",5,18
alpha_91,-0.07303203617776477,"ts_prod_17(ta_natr_25(ta_lr_intercept_20(sub(ts_wma_8(high), div(high, open))), high, div(close, add(div(high, low), ta_natr_25(close, open, close)))))",5,20
alpha_70,-0.11427221355541967,"mul(sqrt(ta_natr_25(ta_adx_25(ts_wma_8(volume), abs(volume), log(close)), log(cos(open)), abs(cos(volume)))), add(log(ta_lr_intercept_20(add(close, low))), ta_natr_25(ta_natr_25(ts_wma_8(close), ta_adx_25(open, high, close), sub(low, volume)), sub(sqrt(volume), abs(high)), sub(cos(open), sqrt(low)))))",5,43
alpha_83,-0.176796891512046,"ta_adx_25(ta_adx_25(sqrt(div(sqrt(high), mul(open, low))), ts_wma_8(sin(ts_wma_8(open))), sqrt(log(high))), log(sqrt(tan(abs(high)))), sub(ta_natr_25(low, low, log(add(volume, open))), sin(sub(mul(volume, high), ta_lr_intercept_20(volume)))))",5,36
