,fitness,expression,depth,length
alpha_42,0.5372309543149627,"sub(ts_range_20(cos(div(high, close))), log(abs(abs(low))))",4,10
alpha_44,0.5319556711815014,tan(cos(high)),2,3
alpha_45,0.5203421269096768,cos(open),1,2
alpha_47,0.5156527586047854,cos(low),1,2
alpha_46,0.506645736533011,sin(cos(high)),2,3
alpha_49,0.4970031299726817,sin(cos(low)),2,3
alpha_50,0.4819822708790829,sin(ts_range_20(ta_trix_21(close))),3,4
alpha_48,0.47557090410209407,"mul(cos(low), div(open, high))",2,6
alpha_54,0.43558770498982946,log(ta_rsi_6(ta_trix_21(ta_tema_21(volume)))),4,5
alpha_51,0.4339429018290288,"log(ta_adx_25(ts_range_20(open), ta_rsi_6(high), ta_rsi_6(volume)))",3,8
alpha_56,0.3839037900392465,"log(ta_rsi_6(cos(mul(open, volume))))",4,6
alpha_59,0.375680109078941,sin(ta_tema_21(ts_range_20(open))),3,4
alpha_57,0.34098401161210157,"ts_range_20(ts_range_20(sqrt(div(sqrt(high), mul(open, low)))))",5,9
alpha_53,0.3391545999164003,"log(add(ta_rsi_6(high), ta_adx_25(ta_rsi_6(abs(high)), ta_tema_21(low), div(ta_tema_21(close), cos(open)))))",5,15
alpha_64,0.33867121212242846,ts_range_20(ta_tema_21(close)),2,3
alpha_55,0.3369051649397595,"log(mul(tan(add(volume, close)), ta_adx_25(open, ta_adx_25(close, open, low), volume)))",4,13
alpha_61,0.3307955725994587,"sin(cos(abs(log(sub(volume, low)))))",5,7
alpha_65,0.3130447411470812,ts_range_20(ta_trix_21(log(sin(close)))),4,5
alpha_67,0.30398198548775573,tan(tan(cos(low))),3,4
alpha_62,0.29477924433320957,"add(sqrt(ta_adx_25(open, volume, low)), log(sin(close)))",3,9
alpha_52,0.2840648823602774,"div(ts_range_20(ta_adx_25(ts_range_20(high), div(high, high), mul(high, high))), sqrt(ta_adx_25(add(low, low), log(open), ta_adx_25(close, low, low))))",4,22
alpha_63,0.2835431090145727,"mul(sub(cos(volume), open), ta_adx_25(low, log(open), volume))",3,10
alpha_60,0.2812163513552566,"log(add(ta_trix_21(log(abs(close))), add(log(ta_rsi_6(high)), cos(ta_trix_21(open)))))",5,13
alpha_68,0.26092444965216177,"sub(abs(ts_range_20(low)), sqrt(div(close, high)))",3,8
alpha_71,0.25050102049440526,sin(tan(open)),2,3
alpha_72,0.22900215671323937,log(log(ta_tema_21(ts_range_20(volume)))),4,5
alpha_75,0.2262473526036107,ts_range_20(ts_range_20(low)),2,3
alpha_76,0.2179872081605952,ts_range_20(ts_range_20(close)),2,3
alpha_69,0.21489300468884034,"sub(cos(abs(low)), mul(log(high), ta_rsi_6(open)))",3,9
alpha_70,0.20473899427280307,"div(sqrt(open), log(sin(sub(volume, low))))",4,8
alpha_78,0.18438483113532617,ta_tema_21(ts_range_20(tan(abs(open)))),4,5
alpha_77,0.17517798006226182,"tan(ts_range_20(abs(ta_adx_25(open, volume, high))))",4,7
alpha_81,0.17385946741362468,ts_range_20(sqrt(log(volume))),3,4
alpha_80,0.16734132326944584,"mul(cos(open), ts_range_20(close))",2,5
alpha_82,0.16385946741362467,ts_range_20(sqrt(log(abs(volume)))),4,5
alpha_73,0.1586321388956609,"log(abs(mul(cos(mul(volume, volume)), tan(mul(low, open)))))",5,11
alpha_84,0.1582003279197472,ta_tema_21(sqrt(ta_trix_21(close))),3,4
alpha_79,0.15571393997334093,"ta_adx_25(ta_trix_21(low), tan(tan(close)), close)",3,7
alpha_86,0.1313483532731099,ta_tema_21(sqrt(ts_range_20(open))),3,4
alpha_74,0.12233279704506539,"ts_range_20(mul(sin(cos(ta_trix_21(high))), add(cos(cos(low)), sin(div(low, low)))))",5,14
alpha_66,0.11642344499729756,"ta_adx_25(log(mul(add(volume, low), cos(close))), ta_trix_21(add(div(high, open), add(volume, volume))), div(cos(div(volume, volume)), ta_trix_21(ta_trix_21(close))))",4,24
alpha_83,0.10292032665978032,"log(div(cos(low), ta_rsi_6(div(low, add(low, high)))))",5,10
alpha_94,0.09645588754787154,"ts_range_20(div(high, low))",2,4
alpha_92,0.09052296195983188,ta_tema_21(sin(ts_range_20(sqrt(high)))),4,5
alpha_90,0.08378941200675807,"ta_tema_21(add(ts_range_20(high), ta_rsi_6(volume)))",3,6
alpha_96,0.08336491659501061,ta_tema_21(sin(low)),2,3
alpha_97,0.07667318460173418,ts_range_20(log(close)),2,3
alpha_85,0.0733158513600449,"add(ta_trix_21(div(close, open)), add(cos(high), ta_rsi_6(high)))",3,10
alpha_87,0.06307528036172896,"tan(sin(ta_rsi_6(sub(div(low, high), sub(high, volume)))))",5,10
alpha_93,0.060464917077502,"add(sin(add(close, low)), ta_rsi_6(cos(high)))",3,8
alpha_95,0.05492933921221789,"ts_range_20(ta_rsi_6(div(abs(low), mul(volume, volume))))",4,8
alpha_58,0.03910585562771335,"ta_adx_25(ta_adx_25(mul(log(abs(volume)), ta_adx_25(cos(high), sub(close, volume), mul(close, volume))), ta_tema_21(tan(cos(high))), ts_range_20(sqrt(sqrt(high)))), tan(add(log(div(close, close)), abs(ts_range_20(low)))), sin(abs(tan(div(volume, high)))))",5,38
alpha_89,0.036685728644944154,"sin(ts_range_20(add(sub(sqrt(low), cos(close)), ta_trix_21(mul(volume, close)))))",5,12
alpha_99,0.019482080416704378,"ta_tema_21(ta_adx_25(log(volume), ta_rsi_6(open), ts_range_20(open)))",3,8
alpha_88,-0.00039177968712025835,"sub(ta_rsi_6(sub(cos(high), ta_tema_21(high))), add(ts_range_20(add(close, low)), ts_range_20(add(high, close))))",4,16
alpha_100,-0.005738425201241459,"div(low, log(mul(ts_range_20(ta_trix_21(close)), sin(cos(volume)))))",5,10
alpha_91,-0.048452460771208655,"ts_range_20(add(ta_adx_25(ta_trix_21(ta_tema_21(high)), add(ta_tema_21(low), sin(high)), ta_tema_21(add(low, open))), log(sin(cos(high)))))",5,19
alpha_98,-0.0799975898177083,"ts_range_20(sub(ta_trix_21(tan(ta_adx_25(volume, close, volume))), ta_adx_25(sqrt(log(volume)), ts_range_20(cos(open)), log(ts_range_20(high)))))",5,18
