,fitness,expression,depth,length
alpha_2,6.48910809826488,"ta_tema_21(ta_adx_25(low, volume, high))",2,5
alpha_1,6.449109624290898,"ta_tema_21(ta_adx_25(sin(high), sub(close, volume), ts_range_20(volume)))",3,9
alpha_3,2.814683836012269,"sub(abs(div(ta_trix_21(div(open, open)), abs(ta_trix_21(volume)))), sqrt(cos(log(mul(low, high)))))",5,16
alpha_4,2.564629817011135,"log(sub(ta_trix_21(ta_adx_25(open, volume, high)), ta_trix_21(cos(high))))",4,10
alpha_5,2.5613166437076695,"sub(sub(close, open), abs(open))",2,6
alpha_6,2.3983435380727376,"div(sub(cos(open), sqrt(close)), sqrt(open))",3,8
alpha_7,2.3083780777789626,"sub(ta_adx_25(sin(abs(volume)), sub(mul(volume, high), ta_trix_21(high)), ts_range_20(sin(open))), open)",4,15
alpha_8,2.2560290731700734,log(cos(cos(cos(close)))),4,5
alpha_9,2.150865546712321,"add(log(ta_adx_25(volume, high, volume)), sub(ta_tema_21(close), mul(low, close)))",3,12
alpha_11,1.8754771884355126,"sub(sin(tan(volume)), abs(sqrt(high)))",3,7
alpha_12,1.8663431821118102,"sub(cos(add(volume, close)), open)",3,6
alpha_10,1.8510730700292617,"log(div(add(sin(ta_tema_21(high)), ta_trix_21(add(close, low))), div(div(add(low, open), log(high)), ta_adx_25(tan(open), cos(low), ta_adx_25(low, open, low)))))",5,26
alpha_13,1.7722731364524504,"sub(add(sin(ts_range_20(low)), log(sin(open))), open)",4,9
alpha_14,1.382262796205593,"add(sub(sub(ta_rsi_6(volume), div(low, high)), add(mul(high, open), ta_rsi_6(close))), ts_range_20(div(sqrt(open), add(high, close))))",4,21
alpha_16,1.2898799216032573,"tan(sin(sub(abs(ts_range_20(close)), low)))",5,7
alpha_15,1.2180152274290206,"ts_range_20(add(ts_range_20(ta_adx_25(abs(volume), ta_rsi_6(open), ta_tema_21(close))), ta_adx_25(add(ts_range_20(close), ta_adx_25(low, high, volume)), ta_trix_21(sin(close)), close)))",5,22
alpha_17,1.0104180070389792,"log(log(sqrt(ta_adx_25(sin(open), div(close, low), mul(close, close)))))",5,12
alpha_18,0.9636647623333084,"tan(sin(add(log(volume), ta_adx_25(volume, open, volume))))",4,9
alpha_19,0.8941171886437235,"sub(mul(sin(sqrt(volume)), sin(ta_adx_25(close, low, volume))), abs(sin(tan(volume))))",4,14
alpha_20,0.8924966092698821,ta_tema_21(cos(high)),2,3
alpha_22,0.8594960283069313,log(log(open)),2,3
alpha_23,0.8589224802878379,log(log(close)),2,3
alpha_21,0.8395598492449403,"sin(mul(open, log(log(open))))",4,6
alpha_25,0.7696605642659777,log(ta_tema_21(ts_range_20(low))),3,4
alpha_24,0.7676714201092183,"div(log(sin(ta_rsi_6(volume))), sqrt(ta_tema_21(div(volume, volume))))",4,10
alpha_28,0.74845422180877,"mul(cos(open), high)",2,4
alpha_31,0.7408295558000767,log(cos(volume)),2,3
alpha_33,0.7393135308231019,log(ta_trix_21(low)),2,3
alpha_26,0.7380589799300679,"sub(sub(low, volume), cos(volume))",2,6
alpha_35,0.7377788882681926,log(ta_trix_21(high)),2,3
alpha_34,0.719295146576281,"log(ta_trix_21(add(close, volume)))",3,5
alpha_29,0.7162468663184387,"log(sqrt(ts_range_20(sub(close, low))))",4,6
alpha_27,0.7080589748153208,"sub(ta_tema_21(sqrt(log(ta_trix_21(open)))), sub(volume, open))",5,9
alpha_37,0.6685824518071514,"ta_rsi_6(ta_adx_25(low, volume, open))",2,5
alpha_30,0.6439773730859317,"sub(div(cos(high), ta_adx_25(open, volume, open)), add(ta_trix_21(low), log(high)))",3,13
alpha_39,0.6250864956422643,"sin(sub(close, high))",2,4
alpha_40,0.614133009431664,"mul(cos(open), ta_tema_21(high))",2,5
alpha_38,0.5801180367126302,"ta_tema_21(sqrt(div(ta_trix_21(ta_tema_21(volume)), abs(add(open, low)))))",5,10
alpha_41,0.5790241192417047,"ta_tema_21(sin(sub(ta_tema_21(open), low)))",4,6
alpha_43,0.552213488943781,"log(ta_adx_25(close, high, low))",2,5
