,fitness,expression,depth,length
alpha_3,262.2896380896767,"cos(TA_BOP(close, volume, close, close))",2,6
alpha_1,262.2796380896767,"sqrt(sqrt(abs(abs(div(close, close)))))",5,7
alpha_2,262.26963808967673,"cos(log(log(TA_BOP(high, low, low, low))))",4,8
alpha_6,262.2400564769021,"cos(sub(open, close))",2,4
alpha_4,262.1696380896767,"cos(TA_BOP(ta_adxr_14(low, sqrt(open), sin(low)), div(ts_skew_40(low), volume), open, sin(ta_adxr_14(open, close, volume))))",4,18
alpha_5,262.1296380896767,"div(low, log(mul(ts_skew_40(TA_BOP(close, open, open, volume)), TA_BOP(ta_minus_dm_14(volume, open), TA_BOP(low, high, low, low), sqrt(low), volume))))",5,22
alpha_7,250.65824093998117,"div(sqrt(close), sqrt(high))",2,5
alpha_8,197.57971403178436,"div(close, open)",1,3
alpha_9,35.54818167629752,"cos(ta_adxr_14(ta_minus_dm_14(div(high, close), ts_kurt_20(open)), sqrt(add(volume, high)), mul(ta_minus_dm_14(volume, volume), abs(close))))",4,18
alpha_10,27.296230710536985,"cos(TA_BOP(low, log(ta_minus_dm_14(sub(low, volume), add(close, open))), open, abs(mul(ta_minus_dm_14(volume, volume), tan(close)))))",5,19
alpha_11,14.76858318484223,"log(sub(open, volume))",2,4
alpha_12,14.710505810240184,log(volume),1,2
alpha_13,12.162095109063944,"div(log(abs(close)), log(open))",3,6
alpha_14,12.041804130190396,sin(sqrt(high)),2,3
alpha_15,11.967526315945827,abs(sin(sqrt(abs(low)))),4,5
alpha_16,11.39004511128915,"cos(tan(TA_BOP(sub(ts_kurt_20(high), TA_BOP(low, high, open, close)), sub(div(close, low), ts_kurt_20(volume)), mul(div(low, open), ta_adxr_14(close, volume, high)), tan(sqrt(close)))))",5,28
alpha_17,9.469611072889426,"cos(TA_BOP(add(close, high), sin(close), cos(low), add(open, high)))",3,12
alpha_19,9.341146627610694,sqrt(sqrt(low)),2,3
alpha_20,9.340935240220343,sqrt(sqrt(open)),2,3
alpha_18,9.322573104906478,"abs(log(mul(mul(low, volume), ts_kurt_20(open))))",4,8
alpha_21,6.069775962694263,"sqrt(div(mul(volume, div(close, volume)), cos(sin(low))))",4,10
alpha_22,5.200158829151387,"log(log(ta_adxr_14(ts_skew_40(volume), add(volume, open), ts_kurt_20(high))))",4,10
alpha_23,5.084494537413894,"cos(cos(ts_kurt_20(add(high, open))))",4,6
alpha_26,4.868873999395388,sqrt(close),1,2
alpha_25,4.859132525043745,abs(sqrt(high)),2,3
alpha_28,4.85829383584296,abs(sqrt(low)),2,3
alpha_27,4.848716776768655,"sqrt(add(low, low))",2,4
alpha_24,4.841935976068324,"tan(cos(ts_kurt_20(cos(ta_minus_dm_14(low, close)))))",5,7
alpha_29,4.804668607873529,"add(close, sin(low))",2,4
alpha_30,4.340837968244882,"add(log(high), cos(log(open)))",3,6
alpha_33,4.330521042008496,cos(sin(close)),2,3
alpha_32,4.320465683709816,"add(close, cos(sqrt(open)))",3,5
alpha_31,4.294791577124432,"sqrt(sin(sin(div(sqrt(low), log(low)))))",5,8
alpha_34,4.268915269744083,"cos(cos(log(sin(sub(volume, close)))))",5,7
alpha_35,3.6926992529527993,cos(log(low)),2,3
alpha_36,3.5859887326600113,sqrt(sin(high)),2,3
alpha_38,3.2071638553639237,sqrt(sin(volume)),2,3
alpha_37,3.1336431297569245,"sin(sqrt(ta_adxr_14(abs(close), log(low), ta_adxr_14(open, close, high))))",4,11
alpha_40,2.905319671624938,"cos(ta_minus_dm_14(tan(div(volume, low)), ts_skew_40(tan(close))))",4,9
alpha_42,2.8696189725277885,"log(add(open, high))",2,4
alpha_39,2.8424086510568545,"sqrt(ta_adxr_14(log(TA_BOP(log(volume), ta_adxr_14(low, open, high), close, close)), tan(abs(div(close, high))), mul(div(ts_skew_40(volume), tan(close)), sin(sin(low)))))",5,26
alpha_41,2.8293081547918613,"sqrt(ta_adxr_14(log(low), mul(close, close), cos(high)))",3,9
alpha_44,2.733803856759671,"sqrt(ta_adxr_14(div(volume, high), ta_adxr_14(low, low, high), ta_minus_dm_14(close, volume)))",3,12
alpha_43,2.6538105403371546,"sqrt(ta_adxr_14(mul(sub(open, volume), TA_BOP(high, open, low, volume)), sin(tan(close)), ta_minus_dm_14(abs(high), mul(open, volume))))",4,20
alpha_50,2.6020424354832863,abs(high),1,2
alpha_52,2.601588844631811,abs(close),1,2
alpha_56,2.6014071111894723,abs(open),1,2
alpha_59,2.6009512964988235,abs(low),1,2
