,fitness,expression,depth,length
alpha_72,0.08921354152498817,"ts_min_5(ta_rsi_12(add(sqrt(volume), sqrt(volume))))",4,7
alpha_69,0.07665055239492036,"ta_beta_10(ts_argmax_5(add(open, low)), ta_beta_10(cos(volume), high))",3,9
alpha_77,0.07258435333665457,ta_ema_8(sin(open)),2,3
alpha_78,0.06968438768562338,ts_min_5(sin(low)),2,3
alpha_71,0.06372908607351446,"sin(ta_ema_8(ta_beta_10(mul(sqrt(low), abs(volume)), cos(low))))",5,10
alpha_68,0.06011977706613088,"ta_ema_8(add(sub(close, tan(low)), sub(sin(high), abs(high))))",4,11
alpha_82,0.05680009374500636,ta_ema_8(ta_rsi_12(volume)),2,3
alpha_81,0.04770905065787769,"ta_ema_8(div(high, low))",2,4
alpha_70,0.04425628850364777,"sub(cos(ts_argmax_5(abs(tan(low)))), cos(ta_rsi_12(ta_rsi_12(sub(volume, low)))))",5,12
alpha_85,0.03603525325312109,sin(ts_min_5(ta_rsi_12(high))),3,4
alpha_87,0.03334866930879843,ts_min_5(ts_argmax_5(low)),2,3
alpha_75,0.02586072104859259,"ts_min_5(log(ta_beta_10(add(open, volume), mul(close, close))))",4,9
alpha_88,0.02231838377399993,ts_min_5(ts_argmax_5(sin(high))),3,4
alpha_90,0.019755239647925277,sin(ta_ema_8(ta_rsi_12(close))),3,4
alpha_76,0.014977285501702117,"log(add(ta_beta_10(high, ts_argmax_5(ta_beta_10(close, high))), ts_min_5(low)))",5,10
alpha_91,0.009181455123500132,"ta_beta_10(cos(low), ta_rsi_12(high))",2,5
alpha_79,0.008075280440872967,"ta_beta_10(sin(ta_rsi_12(volume)), mul(sin(high), sqrt(volume)))",3,9
alpha_94,0.004014501811441272,ta_ema_8(ta_rsi_12(log(sin(close)))),4,5
alpha_98,0.0029384819080344182,ta_ema_8(ts_argmax_5(ta_rsi_12(high))),3,4
alpha_89,6.320510970931476e-05,"ts_min_5(ta_rsi_12(ta_ema_8(add(volume, open))))",4,6
alpha_74,-0.00278738414944657,"tan(sin(ta_beta_10(sub(div(low, high), sub(high, volume)), log(sin(close)))))",5,13
alpha_97,-0.0038312023058155315,ta_ema_8(tan(abs(ta_rsi_12(open)))),4,5
alpha_83,-0.031072941241945123,"mul(log(close), sin(sub(ta_rsi_12(sqrt(open)), tan(ts_min_5(close)))))",5,11
alpha_99,-0.03143954340133811,"sin(ta_beta_10(ts_argmax_5(open), div(close, low)))",3,7
alpha_92,-0.031741366101623265,"sub(div(cos(high), ts_argmax_5(open)), sin(cos(open)))",3,9
alpha_93,-0.035580109875583674,"ta_ema_8(ta_ema_8(sqrt(div(sqrt(high), mul(open, low)))))",5,9
alpha_80,-0.05717896348533637,"div(log(sub(log(cos(open)), tan(cos(close)))), log(mul(tan(log(high)), close)))",5,15
alpha_95,-0.05783871795875594,"ta_beta_10(add(tan(open), add(high, volume)), tan(ta_beta_10(open, high)))",3,11
alpha_86,-0.06574355838197568,"sub(ta_ema_8(log(cos(close))), ta_beta_10(ta_rsi_12(div(close, close)), mul(volume, ts_min_5(close))))",4,14
alpha_96,-0.09357019319887758,"sub(ts_argmax_5(sin(abs(volume))), sub(mul(abs(high), ta_rsi_12(high)), ta_ema_8(sin(open))))",4,14
alpha_100,-0.10291974482718866,"log(add(ta_rsi_12(log(abs(close))), add(log(ta_beta_10(high, open)), ta_rsi_12(cos(volume)))))",5,14
alpha_84,-0.1529362414732538,"add(sub(sub(ta_beta_10(volume, close), ta_ema_8(high)), add(mul(high, open), ta_beta_10(close, low))), div(sqrt(add(open, high)), ts_min_5(sqrt(volume))))",4,23
