,fitness,expression,depth,length
alpha_13,0.32215647476878195,"ta_mfi_14(sub(abs(open), open), log(volume), abs(volume), sin(sub(volume, open)))",3,13
alpha_15,0.31750742659886005,"sin(ts_skew_10(ta_aroonosc_25(cos(sqrt(volume)), abs(open))))",5,8
alpha_11,0.2770627999631827,"div(sin(mul(div(sin(volume), abs(volume)), mul(ta_mfi_14(volume, close, close, open), add(low, high)))), ts_sma_21(abs(sub(abs(low), div(close, high)))))",5,25
alpha_14,0.2550300436407202,"sin(ts_skew_10(ta_aroonosc_25(high, volume)))",3,5
alpha_5,0.2450226089118114,"mul(div(ts_skew_10(ta_aroonosc_25(cos(low), ts_sma_21(high))), volume), div(log(sqrt(ts_skew_10(volume))), add(add(open, cos(volume)), ta_aroonosc_25(log(low), cos(low)))))",5,24
alpha_12,0.20557198725030773,"ta_trima_8(div(high, low))",2,4
alpha_3,0.17381170151684727,"mul(ts_skew_10(cos(sub(close, close))), sub(mul(add(low, open), ts_skew_10(volume)), sin(ta_aroonosc_25(high, close))))",4,17
alpha_8,0.10792201991469882,"tan(tan(abs(div(sub(close, low), div(volume, volume)))))",5,10
alpha_1,0.07381170151684727,"ts_skew_10(sin(sqrt(ta_trima_8(sub(volume, volume)))))",5,7
alpha_10,0.07342050793781481,"div(ts_sma_21(close), sqrt(volume))",2,5
alpha_2,0.06381170151684726,"mul(sub(high, high), tan(high))",2,6
alpha_9,0.04797199475710376,"sin(sub(open, low))",2,4
alpha_7,0.0476825867290403,"sin(sub(close, high))",2,4
alpha_6,0.04504877287608703,"log(div(open, low))",2,4
alpha_4,0.04381170151684726,"ts_skew_10(sub(low, low))",2,4
